Name,SAT Critical Reading 25th percentile score,SAT Math 25th percentile score,SAT Writing 25th percentile score,ACT Composite 25th percentile score
Pennsylvania State University-Main Campus,530.0,560.0,540.0,25.0
Pennsylvania State University-Penn State Greater Allegheny,410.0,420.0,390.0,18.0
Pennsylvania State University-Penn State Mont Alto,410.0,420.0,390.0,20.0
Pennsylvania State University-Penn State Abington,390.0,430.0,390.0,18.0
Pennsylvania State University-Penn State Schuylkill,360.0,360.0,360.0,18.0
Pennsylvania State University-Penn State York,410.0,440.0,415.0,21.0
University of Pennsylvania,670.0,690.0,690.0,30.0
Philadelphia University,480.0,480.0,470.0,21.0
University of Pittsburgh-Bradford,420.0,440.0,410.0,19.0
University of Pittsburgh-Greensburg,460.0,470.0,440.0,20.0
University of Pittsburgh-Johnstown,450.0,470.0,440.0,20.0
University of Pittsburgh-Pittsburgh Campus,570.0,600.0,560.0,26.0
Point Park University,450.0,420.0,440.0,19.0
Robert Morris University,460.0,480.0,450.0,21.0
Saint Francis University,460.0,470.0,460.0,20.0
Saint Joseph's University,510.0,510.0,510.0,22.0
Saint Vincent College,450.0,460.0,455.0,20.0
Seton Hill University,450.0,450.0,440.0,19.0
Shippensburg University of Pennsylvania,440.0,450.0,430.0,18.0
Slippery Rock University of Pennsylvania,450.0,470.0,440.0,19.0
Susquehanna University,510.0,510.0,490.0,23.0
Swarthmore College,680.0,670.0,680.0,31.0
Temple University,500.0,510.0,500.0,22.0
Ursinus College,520.0,540.0,530.0,24.0
Villanova University,590.0,620.0,600.0,29.0
Westminster College,460.0,460.0,445.0,20.0
Wilson College,440.0,420.0,430.0,19.0
York College Pennsylvania,470.0,480.0,450.0,20.0
Brown University,660.0,670.0,670.0,29.0
Bryant University,510.0,540.0,500.0,23.0
Providence College,520.0,530.0,530.0,23.0
Rhode Island College,410.0,410.0,410.0,17.0
University of Rhode Island,480.0,490.0,480.0,22.0
Salve Regina University,510.0,510.0,505.0,23.0
Anderson University,480.0,480.0,460.0,21.0
Southern Wesleyan University,400.0,410.0,378.0,15.0
Citadel Military College of South Carolina,480.0,500.0,450.0,21.0
Clemson University,560.0,590.0,490.0,26.0
Columbia International University,480.0,460.0,460.0,19.0
Francis Marion University,410.0,420.0,390.0,17.0
Lander University,413.0,420.0,410.0,18.0
Newberry College,410.0,420.0,370.0,17.0
