Name,SAT Critical Reading mean score,SAT Math mean score,SAT Writing mean score,ACT Composite mean score
University of Pennsylvania,715.0,735.0,735.0,32.0
Philadelphia University,525.0,535.0,520.0,23.0
University of Pittsburgh-Bradford,475.0,495.0,465.0,21.0
University of Pittsburgh-Greensburg,500.0,515.0,485.0,22.0
University of Pittsburgh-Johnstown,500.0,520.0,490.0,22.0
University of Pittsburgh-Pittsburgh Campus,615.0,640.0,610.0,28.0
Point Park University,505.0,480.0,495.0,22.0
Robert Morris University,505.0,535.0,500.0,22.5
Saint Francis University,485.0,530.0,510.0,22.5
Saint Joseph's University,550.0,560.0,555.0,24.0
Saint Vincent College,510.0,520.0,512.5,22.5
Seton Hill University,510.0,515.0,505.0,22.5
Shippensburg University of Pennsylvania,485.0,500.0,475.0,20.0
Slippery Rock University of Pennsylvania,495.0,510.0,485.0,21.0
Susquehanna University,565.0,560.0,550.0,25.0
Swarthmore College,720.0,720.0,725.0,32.5
Temple University,555.0,565.0,555.0,24.5
Ursinus College,580.0,590.0,585.0,27.0
Villanova University,640.0,665.0,645.0,30.0
Westminster College,520.0,515.0,502.5,22.5
Wilson College,505.0,485.0,495.0,21.5
York College Pennsylvania,515.0,529.0,500.0,22.5
Brown University,710.0,725.0,720.0,31.5
Bryant University,550.0,585.0,545.0,25.0
Providence College,570.0,585.0,585.0,25.5
Rhode Island College,465.0,465.0,465.0,19.5
University of Rhode Island,530.0,540.0,530.0,24.0
Salve Regina University,550.0,555.0,552.5,24.5
Anderson University,540.0,530.0,520.0,23.5
Southern Wesleyan University,470.0,460.0,444.0,18.5
Citadel Military College of South Carolina,535.0,550.0,505.0,23.0
Clemson University,610.0,635.0,550.0,28.5
Columbia International University,550.0,520.0,525.0,22.0
Francis Marion University,470.0,475.0,445.0,19.5
Lander University,471.5,470.0,455.0,20.0
Newberry College,465.0,480.0,435.0,19.5
North Greenville University,560.0,570.0,550.0,25.0
University of South Carolina-Aiken,485.0,490.0,465.0,20.5
